Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
2020-12-03,215.57886177186214,,,,216.09494030929972,,,,212.03085791914026,,,,214.68649291992188,,,,85756,,,
2020-12-04,214.77255284618695,,,,216.79384566246515,,,,212.90178406932108,,,,215.503662109375,,,,98224,,,
2020-12-07,216.56806447055115,,,,216.58956227983074,,,,214.58978041307785,,,,215.9767303466797,,,,51032,,,
2020-12-08,217.90121814171107,,,,220.06228582295896,,,,215.24559590948064,,,,217.06260681152344,,,,60656,,,
2020-12-09,214.9230383811913,,,,219.33116473118073,,,,214.9230383811913,,,,218.25601196289062,,,,38896,,,
2020-12-10,218.471063554208,,,,230.51277571861317,,,,218.471063554208,,,,226.49171447753906,,,,323836,,,
2020-12-11,227.6205923636872,,,,233.30813974077898,,,,222.9114182103945,,,,224.95420837402344,,,,461172,,,
2020-12-14,224.95420580558687,,,,234.36179197804498,,,,224.95420580558687,,,,228.9215087890625,,,,113108,,,
2020-12-15,229.50215582010009,,,,234.14681124579516,,,,225.85737162407025,,,,228.3732452392578,,,,65348,,,
2020-12-16,229.52360270130964,,,,231.5878906270463,,,,221.9115163668633,,,,225.48101806640625,,,,68460,,,
2020-12-17,226.60997686276534,,,,229.27636136783312,,,,217.944246907933,,,,221.56752014160156,,,,54920,,,
2020-12-18,219.79350336197155,,,,225.7820995135859,,,,217.18087667497312,,,,224.9327392578125,,,,82168,,,
2020-12-21,224.9219601016124,,,,224.9219601016124,,,,214.60049348127072,,,,216.2992401123047,,,,234040,,,
2020-12-22,213.0952883299991,,,,215.8261791100716,,,,206.64437142798099,,,,213.3855743408203,,,,65408,,,
2020-12-23,214.4606899833701,,,,216.9658008625227,,,,213.12751122091777,,,,214.91226196289062,,,,21876,,,
2020-12-24,215.9767100899144,,,,220.22356385394554,,,,209.65480607242236,,,,211.47181701660156,,,,84660,,,
2020-12-28,211.37504097323512,,,,218.25601890929158,,,,211.35354316695447,,,,217.0948486328125,,,,83020,,,
2020-12-29,217.39592361380372,,,,217.61095420095882,,,,213.02005641496768,,,,215.0413360595703,,,,91724,,,
2020-12-30,215.67567148270174,,,,217.7292108943669,,,,209.73007070302475,,,,215.34237670898438,,,,156412,,,
2020-12-31,216.20247139778755,,,,220.4063160696459,,,,215.03055226306915,,,,217.5786590576172,,,,112496,,,
2021-01-01,218.6430570230778,,,,222.55661559366746,,,,216.76153974148883,,,,220.3310546875,,,,37996,,,
2021-01-04,220.33111924471606,,,,227.685155589099,,,,218.4710992230171,,,,226.37347412109375,,,,159456,,,
2021-01-05,226.64219766713148,,,,230.72777808048585,,,,223.85756256914686,,,,228.1044158935547,,,,371964,,,
2021-01-06,232.01800182425626,,,,232.2330324098209,,,,219.76125844707127,,,,221.04067993164062,,,,101504,,,
2021-01-07,222.14806575743336,,,,225.029480504344,,,,220.62135403483703,,,,222.3415985107422,,,,48000,,,
2021-01-08,224.6854569131221,,,,228.69578245528515,,,,224.6854569131221,,,,226.60997009277344,,,,454232,,,
2021-01-11,231.1578686386495,,,,234.16829669533888,,,,226.85725712909323,,,,227.8141326904297,,,,191516,,,
2021-01-12,227.8141498173062,,,,230.631071566919,,,,226.56698813508405,,,,227.70663452148438,,,,102116,,,
2021-01-13,228.84627945669018,,,,235.781015197802,,,,225.55630130322803,,,,233.59844970703125,,,,271016,,,
2021-01-14,232.8780989037527,,,,236.51212065534446,,,,229.17958373279828,,,,232.16848754882812,,,,201200,,,
2021-01-15,232.23300312180385,,,,233.20064063481138,,,,228.10442689917744,,,,229.62037658691406,,,,189024,,,
2021-01-18,229.62036076145267,,,,230.06118387542463,,,,224.70691808936348,,,,226.72821044921875,,,,48340,,,
2021-01-19,226.70673565611855,,,,230.94282729599362,,,,226.70673565611855,,,,227.5453338623047,,,,692824,,,
2021-01-20,229.34086752423713,,,,230.73856624502898,,,,225.8358586940964,,,,228.5022430419922,,,,142076,,,
2021-01-21,229.64186269109823,,,,235.45844950020802,,,,224.90045486827842,,,,225.98634338378906,,,,127456,,,
2021-01-22,226.5777080451614,,,,228.72801381098375,,,,217.6969609816249,,,,221.32022094726562,,,,50044,,,
2021-01-25,222.3415971370439,,,,222.41685258263027,,,,217.524907384499,,,,221.5352325439453,,,,45152,,,
2021-01-27,220.89012107406984,,,,224.04032371856763,,,,215.2455694282248,,,,218.62155151367188,,,,74412,,,
2021-01-28,217.71845028684788,,,,221.2664546618928,,,,212.8480026676983,,,,215.25634765625,,,,97116,,,
2021-01-29,216.331487738285,,,,221.48147216745173,,,,214.27794855812198,,,,218.0194854736328,,,,32880,,,
2021-02-01,216.32072454622366,,,,227.7173432350406,,,,216.32072454622366,,,,224.0725860595703,,,,67440,,,
2021-02-02,226.28739426564215,,,,236.53360523300478,,,,223.63177222029543,,,,229.2440643310547,,,,258380,,,
2021-02-03,232.23300031494279,,,,234.36180806759918,,,,227.08302900194192,,,,229.78164672851562,,,,123660,,,
2021-02-04,225.99711419537488,,,,231.66316409217833,,,,225.99711419537488,,,,229.78164672851562,,,,64524,,,
2021-02-05,238.03883794407463,,,,246.20999949951712,,,,229.6311480144285,,,,243.09205627441406,,,,1221784,,,
2021-02-08,248.76890229771607,,,,260.61708291305223,,,,245.1456419970864,,,,253.725341796875,,,,698944,,,
2021-02-09,262.12224793770395,,,,264.4875840552714,,,,255.89712383691753,,,,258.6387634277344,,,,1145096,,,
2021-02-10,259.11180448639743,,,,263.4124153492422,,,,258.46671285697073,,,,261.8426818847656,,,,132380,,,
2021-02-11,262.3498110483047,,,,291.0098744401363,,,,262.3498110483047,,,,273.78076171875,,,,257136,,,
2021-02-12,280.65918982045883,,,,286.1486726768779,,,,268.5558193462518,,,,271.069091796875,,,,166376,,,
2021-02-15,268.6109193471499,,,,272.4910453549441,,,,267.7731529413444,,,,270.22027587890625,,,,243316,,,
2021-02-16,271.16826975645887,,,,275.5775099151005,,,,269.21718636863324,,,,270.2423400878906,,,,74996,,,
2021-02-17,275.57748492075604,,,,275.57748492075604,,,,268.37939563225314,,,,269.8013916015625,,,,86076,,,
2021-02-18,267.42036694695787,,,,271.157186536501,,,,261.677321920904,,,,265.094482421875,,,,77020,,,
2021-02-19,264.8299888410652,,,,265.65672137646914,,,,263.2867547749778,,,,264.6646423339844,,,,88100,,,
2021-02-22,265.99841209146496,,,,267.96050217923704,,,,255.73589618249974,,,,257.3232116699219,,,,163564,,,
2021-02-23,258.61296231271893,,,,262.1182866164074,,,,249.70629204603733,,,,253.66357421875,,,,33400,,,
2021-02-24,252.42902656266077,,,,263.9812424182952,,,,249.7173328051439,,,,252.6605224609375,,,,67052,,,
2021-02-25,261.24745850918436,,,,264.554388363731,,,,254.3249466312939,,,,263.1103515625,,,,33044,,,
2021-02-26,260.1451724484773,,,,270.3305065711202,,,,253.8179235104516,,,,267.28814697265625,,,,124896,,,
2021-03-01,274.43110282220516,,,,274.43110282220516,,,,254.6336048572987,,,,256.9484558105469,,,,72200,,,
2021-03-02,258.23816419993574,,,,267.56371777710507,,,,257.4885880004884,,,,266.78106689453125,,,,104320,,,
