Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2020-12-03,214.95181764988453,,218.81117684868522,,212.99771021670375,,216.31968688964844,,168847,
2020-12-04,218.86003960503473,,219.78823768412823,,210.16426720919037,,211.04360961914062,,44279,
2020-12-07,211.04360347741573,,227.60466104634273,,211.04360347741573,,225.30859375,,441650,
2020-12-08,229.60762352331042,,229.60762352331042,,215.48920029265093,,219.3974151611328,,61058,
2020-12-09,219.83707188890327,,223.69643083588846,,217.34558209243124,,220.17904663085938,,55774,
2020-12-10,216.66165234987807,,217.88296944316937,,208.21014402776458,,212.3137664794922,,173568,
2020-12-11,212.31379169250187,,216.90594152687993,,208.79639208265695,,215.04954528808594,,134803,
2020-12-14,216.17313680318702,,229.6076255310687,,214.5610041193039,,220.7164306640625,,153987,
2020-12-15,220.71641698508722,,221.84003764515822,,213.19310674546455,,214.0724639892578,,76436,
2020-12-16,216.95478217212195,,227.7023731250348,,216.51511097850684,,225.0643310546875,,133169,
2020-12-17,221.10726333897188,,234.6883042997939,,219.25085229621365,,221.00955200195312,,153606,
2020-12-18,221.00953401198518,,222.76823357456814,,217.44329413094226,,219.93478393554688,,18030,
2020-12-21,221.0095592170258,,224.33155097157376,,196.5832150306026,,204.69276428222656,,109888,
2020-12-22,202.68980423946897,,217.10134753430006,,192.2353317463061,,210.65280151367188,,270729,
2020-12-23,214.95181485114492,,220.71642574050853,,213.19311520244972,,219.3485565185547,,34572,
2020-12-24,221.7911857233589,,224.77120243397223,,215.97771929956593,,222.0843048095703,,53294,
2020-12-28,228.63056305306063,,243.28636837697476,,225.30858647643586,,238.01028442382812,,574652,
2020-12-29,243.92145626102524,,248.95329188539455,,229.6076251662514,,232.00140380859375,,177755,
2020-12-30,233.0273210695033,,254.66905582591255,,225.7482735608037,,244.45884704589844,,480622,
2020-12-31,245.63130634325918,,253.0569207933214,,242.309329562717,,246.21754455566406,,320363,
2021-01-01,247.585391841135,,249.97918523854602,,240.3552007100668,,243.28636169433594,,69367,
2021-01-04,247.8296783711134,,249.8326415455745,,238.88964249873405,,242.89556884765625,,100469,
2021-01-05,242.84670465197277,,243.6771913672886,,233.80895775818988,,234.541748046875,,186255,
2021-01-06,233.80895756382856,,240.25750315370288,,233.5646941344699,,238.64537048339844,,123773,
2021-01-07,243.28635569934625,,243.28635569934625,,232.58762135213016,,237.03321838378906,,122746,
2021-01-08,237.277499957158,,243.33522999070738,,232.5387834898065,,235.0302734375,,151522,
2021-01-11,236.2515904877361,,242.70013604022475,,230.58467597773836,,232.97845458984375,,66478,
2021-01-12,234.10207408498295,,236.39814135049684,,228.09318484368163,,231.41517639160156,,615220,
2021-01-13,232.58766155483082,,238.40112872016894,,227.16500994852163,,228.72830200195312,,102290,
2021-01-14,229.9007281632837,,232.050243224049,,222.37741799627725,,226.0902099609375,,98283,
2021-01-15,226.09022918472797,,229.60762860771314,,215.92887626512598,,219.7393798828125,,165180,
2021-01-18,219.7393786460571,,222.23086864759406,,211.87410802026298,,215.09837341308594,,161612,
2021-01-19,216.12426936187092,,224.67348899571593,,210.35965865794063,,223.84300231933594,,178276,
2021-01-20,224.7712243438864,,251.73789963948946,,223.1590766669051,,238.8896484375,,726772,
2021-01-21,240.84375034740424,,244.50770192469741,,232.6365047777304,,234.6883087158203,,212471,
2021-01-22,235.8607482860622,,236.93551327883054,,220.32560100773728,,224.57579040527344,,149189,
2021-01-25,225.0154732388564,,226.96958066618706,,213.58394777070336,,218.6157684326172,,276135,
2021-01-27,216.46624441222392,,219.4951018558118,,212.02064721470063,,214.36557006835938,,307066,
2021-01-28,214.70755245000936,,215.34263139709287,,209.1872049602635,,210.8970489501953,,236072,
2021-01-29,211.97179908438716,,216.9059232942074,,207.7216243974648,,210.8970489501953,,75372,
2021-02-01,211.922940489272,,213.68164012206327,,208.1124370421044,,211.8740997314453,,101074,
2021-02-02,212.99771052384838,,220.37446907647444,,212.99771052384838,,215.29379272460938,,123010,
2021-02-03,216.31969112785652,,226.62761102157262,,213.48624125769314,,223.06137084960938,,674695,
2021-02-04,225.50400489835926,,228.33745476487147,,220.6187362259886,,226.1390838623047,,254862,
2021-02-05,227.311543373824,,227.311543373824,,221.25381325479808,,222.76824951171875,,119411,
2021-02-08,223.01251268595226,,232.5387865027673,,223.01251268595226,,225.84596252441406,,134935,
2021-02-09,227.01844310775985,,234.49289827687238,,225.50400682465698,,230.53582763671875,,244157,
2021-02-10,231.75714438097964,,234.44404216870078,,225.69941416857608,,227.70237731933594,,124218,
