Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2020-12-03,,,78.49240408626031,,,80.88302951052174,,,78.24337997126534,,,79.63790893554688,,,280964
2020-12-04,,,80.28537080908531,,,80.53439491680555,,,77.69552160871726,,,78.24337768554688,,,248365
2020-12-07,,,78.14375935731766,,,80.23556787211328,,,77.6955190182114,,,78.64180755615234,,,296432
2020-12-08,,,78.54220814758344,,,86.56078807802385,,,77.69552763557991,,,85.41527557373047,,,1712122
2020-12-09,,,93.6330658113369,,,95.62525870093981,,,91.24243282389085,,,91.93970489501953,,,2851258
2020-12-10,,,91.24242940062481,,,91.54126136269868,,,85.6642910389418,,,88.65258026123047,,,504429
2020-12-11,,,89.59887748270765,,,91.14283010354191,,,86.16234758422267,,,87.208251953125,,,334558
2020-12-14,,,88.05492292922071,,,88.3039470282289,,,85.76389817850034,,,86.16233825683594,,,226632
2020-12-15,,,91.54126437934059,,,92.38794483363463,,,90.04711971895836,,,90.395751953125,,,867107
2020-12-16,,,90.74438703268244,,,91.29224313184632,,,88.15453772673486,,,88.802001953125,,,211827
2020-12-17,,,89.25024579310272,,,90.14673417219639,,,87.15844464162635,,,87.556884765625,,,180430
2020-12-18,,,88.05492991235455,,,89.30005050613894,,,84.96703235969187,,,87.00902557373047,,,211625
2020-12-21,,,84.86742423057915,,,88.00512992775349,,,78.19358029023864,,,79.3888931274414,,,391939
2020-12-22,,,79.63790856509121,,,89.05102462788142,,,73.21308946795274,,,85.96312713623047,,,621217
2020-12-23,,,90.64477155855405,,,93.43384449250834,,,88.65257877704737,,,90.943603515625,,,2094183
2020-12-24,,,91.64087207061604,,,92.03931216475866,,,88.40355865507797,,,88.85179901123047,,,318164
2020-12-28,,,90.9436004637426,,,90.9436004637426,,,88.15452762338391,,,88.60276794433594,,,198288
2020-12-29,,,88.65258884388228,,,90.54517372114624,,,86.76000396661834,,,87.208251953125,,,176629
2020-12-30,,,87.20824713090462,,,91.64087328814934,,,85.66429459544393,,,89.549072265625,,,463733
2020-12-31,,,88.15452944437664,,,93.63305952284071,,,87.90550534990099,,,89.64867401123047,,,1282586
