Date,Open,High,Low,Close,Volume
2020-12-03,1156.4794194567123,1212.0459253700521,1144.5932350549276,1146.5498046875,295720
2020-12-04,1158.289098294283,1171.6427084887587,1125.0274181067782,1129.3807373046875,162427
2020-12-07,1148.5064926252596,1148.5064926252596,1115.2448054453116,1129.8701171875,155809
2020-12-08,1139.7017231913076,1164.1588417147263,1123.070882595383,1129.7232666015625,225515
2020-12-09,1137.6963462626536,1151.4412965079005,1126.9841746619381,1130.0657958984375,111606
2020-12-10,1141.9029334059492,1161.0284490239105,1119.3534209861707,1133.636474609375,310277
2020-12-11,1141.853884729236,1157.7021689464498,1126.98400465781,1150.658447265625,168483
2020-12-14,1154.3761281176987,1154.3761281176987,1129.9190067592729,1136.1800537109375,119428
2020-12-15,1133.8317617579987,1141.2178576718484,1126.1522521390505,1129.28271484375,56631
2020-12-16,1134.125600151544,1180.545165478365,1132.5114063707751,1168.9525146484375,323251
2020-12-17,1177.8058330417714,1212.8774355561025,1169.7839461589392,1205.9315185546875,402509
2020-12-18,1217.377637776555,1232.638856882624,1174.969015274857,1219.8721923828125,378273
2020-12-21,1217.4751638201005,1227.649347369513,1155.354092785487,1188.9093017578125,145777
2020-12-22,1187.6377936639574,1198.3989268849652,1132.0711670822116,1159.9034423828125,327649
2020-12-23,1171.0067830844089,1209.9914044017696,1164.403361375286,1174.919921875,171273
2020-12-24,1191.550922910408,1203.2903408701163,1173.941795970845,1180.349609375,246220
2020-12-28,1194.8280059471494,1201.3336231485928,1185.6810677981225,1191.110595703125,169125
2020-12-29,1196.6376314058002,1201.2356405101798,1164.1586316355342,1176.92529296875,154970
2020-12-30,1179.5179764501518,1212.9753894208202,1175.1646567071673,1182.6485595703125,197431
2020-12-31,1187.6377100716136,1191.4530445562434,1176.093902024688,1185.7301025390625,296434
2021-01-01,1185.681072753196,1211.6056176607535,1185.681072753196,1205.9315185546875,95451
2021-01-04,1212.1926053466423,1261.9873228209233,1208.1816617704187,1235.475830078125,99581
2021-01-05,1232.1496684822769,1276.6616255413826,1198.398843898999,1265.5091552734375,150290
